Date,Reach,Sentiment
23-Jan-2023 05:27PM,66,Negative
23-Jan-2023 05:13PM,4318533,Neutral
23-Jan-2023 04:55PM,0,Positive
23-Jan-2023 04:46PM,22022875,Positive
23-Jan-2023 04:40PM,20901256,Positive
23-Jan-2023 04:39PM,0,Not Rated
23-Jan-2023 04:31PM,0,Positive
23-Jan-2023 04:14PM,6351345,Positive
23-Jan-2023 04:04PM,618,Positive
23-Jan-2023 04:02PM,0,Not Rated
23-Jan-2023 04:00PM,0,Not Rated
23-Jan-2023 03:54PM,696991,Positive
23-Jan-2023 03:46PM,0,Positive
23-Jan-2023 03:44PM,9265,Neutral
23-Jan-2023 03:44PM,494924,Neutral
23-Jan-2023 03:05PM,52198885,Positive
23-Jan-2023 02:54PM,16,Neutral
23-Jan-2023 02:50PM,1190,Positive
23-Jan-2023 02:26PM,0,Neutral
23-Jan-2023 02:07PM,5327,Negative
23-Jan-2023 02:04PM,1,Neutral
23-Jan-2023 01:56PM,221353,Neutral
23-Jan-2023 01:53PM,221353,Positive
23-Jan-2023 01:28PM,0,Not Rated
23-Jan-2023 01:07PM,32970,Neutral
23-Jan-2023 12:49PM,42,Neutral
23-Jan-2023 12:42PM,279300,Positive
23-Jan-2023 12:03PM,99,Neutral
23-Jan-2023 11:53AM,0,Not Rated
23-Jan-2023 11:47AM,0,Positive
23-Jan-2023 11:39AM,124179,Negative
23-Jan-2023 11:25AM,0,Positive
23-Jan-2023 11:18AM,0,Not Rated
23-Jan-2023 11:12AM,19303618,Positive
23-Jan-2023 11:00AM,0,Not Rated
23-Jan-2023 10:59AM,131,Positive
23-Jan-2023 10:45AM,619987,Positive
23-Jan-2023 10:44AM,10,Neutral
23-Jan-2023 10:39AM,15911,Positive
23-Jan-2023 10:32AM,0,Neutral
23-Jan-2023 10:22AM,8241,Positive
23-Jan-2023 10:21AM,235072,Positive
23-Jan-2023 10:00AM,5761,Positive
23-Jan-2023 09:45AM,4,Positive
23-Jan-2023 09:40AM,0,Neutral
23-Jan-2023 09:28AM,0,Positive
23-Jan-2023 09:26AM,0,Positive
23-Jan-2023 09:23AM,471,Neutral
23-Jan-2023 09:14AM,0,Neutral
23-Jan-2023 08:04AM,0,Neutral
23-Jan-2023 08:00AM,72466,Neutral
23-Jan-2023 08:00AM,56684,Neutral
23-Jan-2023 08:00AM,30640,Neutral
23-Jan-2023 08:00AM,3970,Neutral
23-Jan-2023 07:23AM,170,Neutral
23-Jan-2023 07:00AM,0,Neutral
23-Jan-2023 06:08AM,556133,Positive
23-Jan-2023 05:58AM,0,Neutral
23-Jan-2023 05:44AM,0,Neutral
23-Jan-2023 03:57AM,16185088,Positive
23-Jan-2023 12:11AM,0,Neutral
23-Jan-2023 12:00AM,0,Positive
22-Jan-2023 11:59PM,115760,Positive
22-Jan-2023 11:36PM,0,Not Rated
22-Jan-2023 11:23PM,0,Not Rated
22-Jan-2023 11:03PM,113,Positive
22-Jan-2023 10:56PM,275,Positive
22-Jan-2023 10:36PM,5157,Neutral
22-Jan-2023 09:49PM,74,Not Rated
22-Jan-2023 07:51PM,0,Not Rated
22-Jan-2023 07:49PM,0,Not Rated
22-Jan-2023 07:42PM,0,Not Rated
22-Jan-2023 05:53PM,0,Not Rated
22-Jan-2023 05:33PM,0,Not Rated
22-Jan-2023 05:18PM,37,Neutral
22-Jan-2023 05:16PM,20546289,Neutral
22-Jan-2023 04:51PM,22,Not Rated
22-Jan-2023 03:55PM,392662,Neutral
22-Jan-2023 02:47PM,289072,Neutral
22-Jan-2023 02:43PM,0,Neutral
22-Jan-2023 02:40PM,9706893,Neutral
22-Jan-2023 01:56PM,39845,Neutral
22-Jan-2023 01:39PM,0,Neutral
22-Jan-2023 01:25PM,0,Neutral
22-Jan-2023 01:06PM,0,Not Rated
22-Jan-2023 01:03PM,2914,Neutral
22-Jan-2023 12:48PM,0,Neutral
22-Jan-2023 12:41PM,124089,Negative
22-Jan-2023 12:22PM,0,Negative
22-Jan-2023 11:49AM,0,Not Rated
22-Jan-2023 11:32AM,0,Neutral
22-Jan-2023 11:30AM,2,Neutral
22-Jan-2023 11:24AM,242,Neutral
22-Jan-2023 11:24AM,49771,Neutral
22-Jan-2023 11:15AM,0,Neutral
22-Jan-2023 11:15AM,0,Positive
22-Jan-2023 10:43AM,0,Not Rated
22-Jan-2023 10:29AM,0,Not Rated
22-Jan-2023 10:12AM,22197753,Neutral
22-Jan-2023 09:28AM,0,Not Rated
22-Jan-2023 08:35AM,0,Not Rated
22-Jan-2023 08:05AM,295,Neutral
22-Jan-2023 07:35AM,0,Not Rated
22-Jan-2023 02:42AM,0,Neutral
22-Jan-2023 02:34AM,88413858,Neutral
22-Jan-2023 01:35AM,387,Neutral
22-Jan-2023 01:18AM,3,Neutral
21-Jan-2023 11:03PM,13,Neutral
21-Jan-2023 11:02PM,0,Not Rated
21-Jan-2023 11:00PM,0,Not Rated
21-Jan-2023 10:57PM,13,Neutral
21-Jan-2023 10:45PM,154,Neutral
21-Jan-2023 10:45PM,0,Not Rated
21-Jan-2023 10:41PM,13,Neutral
21-Jan-2023 10:05PM,0,Neutral
21-Jan-2023 10:00PM,0,Not Rated
21-Jan-2023 09:04PM,0,Not Rated
21-Jan-2023 08:52PM,351,Neutral
21-Jan-2023 08:38PM,0,Not Rated
21-Jan-2023 08:30PM,0,Neutral
21-Jan-2023 08:28PM,0,Not Rated
21-Jan-2023 08:02PM,98,Neutral
21-Jan-2023 08:00PM,0,Not Rated
21-Jan-2023 08:00PM,114,Neutral
21-Jan-2023 08:00PM,0,Not Rated
21-Jan-2023 07:40PM,0,Not Rated
21-Jan-2023 07:29PM,0,Not Rated
21-Jan-2023 07:27PM,48,Neutral
21-Jan-2023 07:08PM,4,Neutral
21-Jan-2023 06:41PM,0,Not Rated
21-Jan-2023 06:40PM,12137,Neutral
21-Jan-2023 06:40PM,0,Positive
21-Jan-2023 06:38PM,0,Not Rated
21-Jan-2023 06:37PM,36,Positive
21-Jan-2023 06:33PM,36,Positive
21-Jan-2023 06:30PM,0,Not Rated
21-Jan-2023 06:06PM,0,Neutral
21-Jan-2023 06:04PM,360,Positive
21-Jan-2023 06:00PM,0,Not Rated
21-Jan-2023 06:00PM,0,Not Rated
21-Jan-2023 05:43PM,39,Neutral
21-Jan-2023 05:00PM,0,Not Rated
21-Jan-2023 04:54PM,0,Not Rated
21-Jan-2023 04:33PM,500,Negative
21-Jan-2023 04:25PM,0,Not Rated
21-Jan-2023 04:00PM,0,Neutral
21-Jan-2023 03:45PM,1,Negative
21-Jan-2023 03:44PM,6125,Positive
21-Jan-2023 03:41PM,221353,Neutral
21-Jan-2023 03:28PM,1142,Negative
21-Jan-2023 03:10PM,60,Negative
21-Jan-2023 03:07PM,0,Not Rated
21-Jan-2023 03:01PM,50311,Positive
21-Jan-2023 02:33PM,3,Positive
21-Jan-2023 02:16PM,0,Not Rated
21-Jan-2023 01:15PM,0,Not Rated
21-Jan-2023 01:09PM,0,Not Rated
21-Jan-2023 12:37PM,0,Negative
21-Jan-2023 12:26PM,1230,Neutral
21-Jan-2023 12:19PM,0,Not Rated
21-Jan-2023 12:12PM,313307,Positive
21-Jan-2023 12:03PM,0,Not Rated
21-Jan-2023 11:56AM,5109,Negative
21-Jan-2023 11:49AM,0,Neutral
21-Jan-2023 11:43AM,3657,Neutral
21-Jan-2023 11:39AM,467,Positive
21-Jan-2023 11:31AM,0,Not Rated
21-Jan-2023 11:30AM,52,Negative
21-Jan-2023 11:17AM,0,Not Rated
21-Jan-2023 11:06AM,240,Neutral
21-Jan-2023 10:57AM,131,Neutral
21-Jan-2023 10:15AM,806641,Neutral
21-Jan-2023 10:10AM,16185088,Neutral
21-Jan-2023 10:00AM,0,Not Rated
21-Jan-2023 09:36AM,0,Not Rated
21-Jan-2023 09:30AM,0,Not Rated
21-Jan-2023 09:26AM,36,Positive
21-Jan-2023 09:20AM,36,Neutral
21-Jan-2023 08:36AM,45192,Positive
21-Jan-2023 08:36AM,45192,Positive
21-Jan-2023 08:36AM,1921,Positive
21-Jan-2023 08:24AM,10,Neutral
21-Jan-2023 07:59AM,0,Not Rated
21-Jan-2023 07:20AM,3919,Negative
21-Jan-2023 07:00AM,0,Not Rated
21-Jan-2023 06:20AM,0,Not Rated
21-Jan-2023 06:04AM,0,Neutral
21-Jan-2023 05:30AM,0,Not Rated
21-Jan-2023 04:51AM,0,Neutral
21-Jan-2023 03:58AM,36,Negative
21-Jan-2023 03:21AM,18,Negative
21-Jan-2023 02:04AM,76,Negative
21-Jan-2023 01:58AM,314,Neutral
21-Jan-2023 01:29AM,0,Not Rated
21-Jan-2023 01:07AM,876,Neutral
21-Jan-2023 12:55AM,82,Negative
21-Jan-2023 12:44AM,35,Negative
21-Jan-2023 12:20AM,0,Not Rated
21-Jan-2023 12:17AM,0,Not Rated
20-Jan-2023 11:43PM,1169,Negative
20-Jan-2023 10:48PM,75,Negative
20-Jan-2023 10:47PM,151,Negative
20-Jan-2023 10:43PM,36,Neutral
20-Jan-2023 10:39PM,0,Not Rated
20-Jan-2023 10:36PM,0,Neutral
20-Jan-2023 10:24PM,55,Negative
20-Jan-2023 10:18PM,0,Neutral
20-Jan-2023 10:18PM,253,Negative
20-Jan-2023 10:16PM,400,Negative
20-Jan-2023 10:12PM,156,Negative
20-Jan-2023 10:01PM,50311,Neutral
20-Jan-2023 09:59PM,1745,Negative
20-Jan-2023 09:57PM,443,Neutral
20-Jan-2023 09:57PM,0,Neutral
20-Jan-2023 09:56PM,182,Negative
20-Jan-2023 09:52PM,17171,Negative
20-Jan-2023 09:40PM,0,Negative
20-Jan-2023 09:40PM,0,Negative
20-Jan-2023 09:40PM,0,Negative
20-Jan-2023 09:39PM,0,Not Rated
20-Jan-2023 09:33PM,0,Neutral
20-Jan-2023 09:30PM,3,Negative
20-Jan-2023 09:29PM,0,Neutral
20-Jan-2023 09:29PM,0,Neutral
20-Jan-2023 09:29PM,0,Neutral
20-Jan-2023 09:29PM,0,Neutral
20-Jan-2023 09:16PM,0,Negative
20-Jan-2023 09:05PM,0,Not Rated
20-Jan-2023 08:58PM,0,Not Rated
20-Jan-2023 08:55PM,3728,Neutral
20-Jan-2023 08:49PM,3677,Neutral
20-Jan-2023 08:45PM,0,Not Rated
20-Jan-2023 08:44PM,221353,Negative
20-Jan-2023 08:44PM,0,Not Rated
20-Jan-2023 08:28PM,22362,Neutral
20-Jan-2023 08:15PM,0,Not Rated
20-Jan-2023 08:12PM,0,Not Rated
20-Jan-2023 08:09PM,0,Not Rated
20-Jan-2023 08:08PM,0,Not Rated
20-Jan-2023 07:49PM,0,Not Rated
20-Jan-2023 07:41PM,0,Neutral
20-Jan-2023 07:36PM,62,Negative
20-Jan-2023 07:35PM,702,Neutral
20-Jan-2023 07:32PM,3021,Neutral
20-Jan-2023 07:31PM,0,Not Rated
20-Jan-2023 07:30PM,159,Neutral
20-Jan-2023 07:26PM,1145,Neutral
20-Jan-2023 07:25PM,0,Not Rated
20-Jan-2023 07:19PM,0,Neutral
20-Jan-2023 07:02PM,0,Neutral
20-Jan-2023 06:53PM,111,Neutral
20-Jan-2023 06:51PM,851,Neutral
20-Jan-2023 06:36PM,0,Positive
20-Jan-2023 06:36PM,0,Positive
20-Jan-2023 06:22PM,0,Not Rated
20-Jan-2023 06:13PM,0,Neutral
20-Jan-2023 06:13PM,0,Neutral
20-Jan-2023 06:13PM,0,Neutral
20-Jan-2023 06:13PM,0,Neutral
20-Jan-2023 06:12PM,0,Negative
20-Jan-2023 06:02PM,1,Neutral
20-Jan-2023 05:57PM,0,Not Rated
20-Jan-2023 05:50PM,0,Not Rated
20-Jan-2023 05:49PM,0,Not Rated
20-Jan-2023 05:43PM,39,Neutral
20-Jan-2023 05:11PM,0,Not Rated
20-Jan-2023 04:58PM,0,Not Rated
20-Jan-2023 04:42PM,0,Not Rated
20-Jan-2023 04:41PM,0,Neutral
20-Jan-2023 04:36PM,47535080,Negative
20-Jan-2023 04:26PM,0,Not Rated
20-Jan-2023 04:26PM,24437,Positive
20-Jan-2023 04:18PM,0,Negative
20-Jan-2023 04:15PM,0,Negative
20-Jan-2023 04:11PM,0,Negative
20-Jan-2023 04:11PM,0,Negative
20-Jan-2023 04:11PM,0,Negative
20-Jan-2023 04:11PM,28937069,Negative
20-Jan-2023 04:08PM,3072813,Negative
20-Jan-2023 04:08PM,0,Neutral
20-Jan-2023 04:08PM,0,Negative
20-Jan-2023 04:02PM,259193,Negative
20-Jan-2023 04:00PM,0,Not Rated
20-Jan-2023 04:00PM,0,Neutral
20-Jan-2023 03:46PM,0,Negative
20-Jan-2023 03:34PM,65337,Negative
20-Jan-2023 03:30PM,0,Not Rated
20-Jan-2023 03:16PM,12106,Positive
20-Jan-2023 03:15PM,0,Neutral
20-Jan-2023 03:00PM,0,Neutral
20-Jan-2023 02:38PM,525,Neutral
20-Jan-2023 02:30PM,0,Not Rated
20-Jan-2023 02:21PM,0,Not Rated
20-Jan-2023 02:07PM,1180,Positive
20-Jan-2023 01:54PM,33507,Negative
20-Jan-2023 01:48PM,0,Positive
20-Jan-2023 01:37PM,0,Not Rated
20-Jan-2023 01:15PM,199,Neutral
20-Jan-2023 01:14PM,1,Neutral
20-Jan-2023 12:47PM,0,Positive
20-Jan-2023 12:46PM,494924,Neutral
20-Jan-2023 12:33PM,0,Not Rated
20-Jan-2023 12:29PM,47,Negative
20-Jan-2023 12:27PM,0,Not Rated
20-Jan-2023 12:22PM,0,Neutral
20-Jan-2023 12:19PM,0,Positive
20-Jan-2023 12:05PM,3263,Neutral
20-Jan-2023 12:04PM,0,Neutral
20-Jan-2023 12:00PM,10896,Positive
20-Jan-2023 11:58AM,2,Neutral
20-Jan-2023 11:51AM,0,Positive
20-Jan-2023 11:46AM,0,Not Rated
20-Jan-2023 11:45AM,0,Negative
20-Jan-2023 11:39AM,0,Neutral
20-Jan-2023 11:38AM,0,Not Rated
20-Jan-2023 11:34AM,0,Not Rated
20-Jan-2023 11:33AM,0,Not Rated
20-Jan-2023 11:28AM,0,Positive
20-Jan-2023 11:23AM,0,Neutral
20-Jan-2023 11:20AM,0,Not Rated
20-Jan-2023 11:13AM,9265,Negative
20-Jan-2023 11:11AM,7,Neutral
20-Jan-2023 11:08AM,2789816,Positive
20-Jan-2023 11:04AM,0,Negative
20-Jan-2023 11:03AM,0,Not Rated
20-Jan-2023 11:01AM,0,Not Rated
20-Jan-2023 11:00AM,0,Neutral
20-Jan-2023 11:00AM,1916,Neutral
20-Jan-2023 10:56AM,5669829,Neutral
20-Jan-2023 10:56AM,9265,Positive
20-Jan-2023 10:41AM,1471,Negative
20-Jan-2023 10:34AM,0,Positive
20-Jan-2023 10:30AM,10,Neutral
20-Jan-2023 10:19AM,0,Neutral
20-Jan-2023 10:17AM,16185088,Negative
20-Jan-2023 10:12AM,0,Not Rated
20-Jan-2023 10:12AM,0,Not Rated
20-Jan-2023 10:08AM,0,Neutral
20-Jan-2023 10:02AM,6351345,Negative
20-Jan-2023 09:26AM,0,Not Rated
20-Jan-2023 09:24AM,0,Positive
20-Jan-2023 09:16AM,5,Positive
20-Jan-2023 09:09AM,62,Neutral
20-Jan-2023 09:08AM,134,Neutral
20-Jan-2023 09:08AM,0,Neutral
20-Jan-2023 09:00AM,0,Not Rated
20-Jan-2023 08:38AM,117,Neutral
20-Jan-2023 08:23AM,0,Not Rated
20-Jan-2023 08:16AM,19,Positive
20-Jan-2023 08:04AM,0,Not Rated
20-Jan-2023 08:02AM,0,Not Rated
20-Jan-2023 08:00AM,0,Not Rated
20-Jan-2023 07:57AM,831,Neutral
20-Jan-2023 07:52AM,0,Not Rated
20-Jan-2023 07:35AM,237722,Neutral
20-Jan-2023 07:30AM,0,Neutral
20-Jan-2023 07:11AM,0,Not Rated
20-Jan-2023 07:02AM,43,Neutral
20-Jan-2023 06:56AM,26,Neutral
20-Jan-2023 06:41AM,0,Not Rated
20-Jan-2023 02:30AM,0,Not Rated
19-Jan-2023 11:36PM,0,Negative
19-Jan-2023 11:36PM,0,Negative
19-Jan-2023 11:16PM,2845,Negative
19-Jan-2023 11:09PM,0,Neutral
19-Jan-2023 10:01PM,22197753,Positive
19-Jan-2023 09:31PM,103,Neutral
19-Jan-2023 07:55PM,5908054,Neutral
19-Jan-2023 07:54PM,411,Positive
19-Jan-2023 07:35PM,0,Neutral
19-Jan-2023 07:12PM,0,Not Rated
19-Jan-2023 06:37PM,0,Not Rated
19-Jan-2023 06:16PM,205842,Positive
19-Jan-2023 06:15PM,0,Not Rated
19-Jan-2023 06:00PM,0,Not Rated
19-Jan-2023 05:56PM,0,Neutral
19-Jan-2023 05:47PM,0,Not Rated
19-Jan-2023 05:41PM,24182136,Neutral
19-Jan-2023 05:39PM,0,Neutral
19-Jan-2023 05:34PM,0,Positive
19-Jan-2023 05:31PM,0,Not Rated
19-Jan-2023 05:30PM,0,Not Rated
19-Jan-2023 05:27PM,0,Negative
19-Jan-2023 05:19PM,0,Not Rated
19-Jan-2023 05:16PM,0,Negative
19-Jan-2023 05:00PM,0,Not Rated
19-Jan-2023 04:58PM,22022875,Negative
19-Jan-2023 04:48PM,0,Not Rated
19-Jan-2023 04:28PM,0,Negative
19-Jan-2023 04:19PM,0,Neutral
19-Jan-2023 04:18PM,0,Positive
19-Jan-2023 04:07PM,7155318,Negative
19-Jan-2023 04:05PM,0,Neutral
19-Jan-2023 03:47PM,0,Negative
19-Jan-2023 03:47PM,0,Negative
19-Jan-2023 03:00PM,0,Not Rated
19-Jan-2023 02:48PM,0,Negative
19-Jan-2023 02:44PM,0,Not Rated
19-Jan-2023 02:41PM,0,Neutral
19-Jan-2023 02:19PM,11765,Neutral
19-Jan-2023 01:39PM,1191,Neutral
19-Jan-2023 01:24PM,65337,Neutral
19-Jan-2023 12:34PM,0,Neutral
19-Jan-2023 12:17PM,16,Not Rated
19-Jan-2023 12:16PM,0,Neutral
19-Jan-2023 11:59AM,0,Neutral
19-Jan-2023 11:14AM,2789816,Negative
19-Jan-2023 10:53AM,673,Neutral
19-Jan-2023 10:19AM,486083,Negative
19-Jan-2023 10:08AM,0,Neutral
19-Jan-2023 09:55AM,16185088,Positive
19-Jan-2023 09:51AM,17817213,Negative
19-Jan-2023 09:39AM,0,Neutral
19-Jan-2023 09:35AM,36,Negative
19-Jan-2023 09:22AM,18388,Neutral
19-Jan-2023 09:11AM,3,Positive
19-Jan-2023 09:03AM,0,Neutral
19-Jan-2023 08:51AM,5908054,Negative
19-Jan-2023 08:44AM,544,Neutral
19-Jan-2023 08:40AM,0,Not Rated
19-Jan-2023 08:02AM,6,Neutral
19-Jan-2023 06:01AM,0,Not Rated
19-Jan-2023 04:20AM,118,Neutral
19-Jan-2023 04:19AM,118,Negative
19-Jan-2023 04:17AM,0,Positive
19-Jan-2023 02:54AM,0,Positive
19-Jan-2023 02:08AM,336,Neutral
19-Jan-2023 01:30AM,345,Neutral
19-Jan-2023 01:15AM,3,Positive
19-Jan-2023 12:14AM,0,Not Rated
18-Jan-2023 11:32PM,0,Neutral
18-Jan-2023 11:27PM,0,Not Rated
18-Jan-2023 11:07PM,0,Neutral
18-Jan-2023 11:06PM,0,Neutral
18-Jan-2023 11:03PM,0,Not Rated
18-Jan-2023 11:02PM,2,Negative
18-Jan-2023 10:25PM,214578,Neutral
18-Jan-2023 10:24PM,5,Neutral
18-Jan-2023 10:16PM,0,Not Rated
18-Jan-2023 10:11PM,0,Not Rated
18-Jan-2023 10:05PM,0,Not Rated
18-Jan-2023 09:27PM,1127,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 09:09PM,0,Neutral
18-Jan-2023 08:59PM,0,Positive
18-Jan-2023 08:38PM,0,Positive
18-Jan-2023 08:29PM,196,Neutral
18-Jan-2023 08:10PM,0,Not Rated
18-Jan-2023 08:05PM,0,Not Rated
